Day,Time,Time 1,Place,1Activity1123,act,dur
20181222,1.5455E+12,Sat Dec 22 23:15:08 GMT+05:30 2018,home,phone: Smarter Time,Personal Life,71855
20181222,1.5455E+12,Sat Dec 22 23:16:19 GMT+05:30 2018,home,sleep,Resting,2620041
20181223,1.5455E+12,Sun Dec 23 00:00:00 GMT+05:30 2018,home,sleep,Resting,20630389
20181223,1.54552E+12,Sun Dec 23 05:43:50 GMT+05:30 2018,home,phone: WhatsApp,Social,467007
20181223,1.54552E+12,Sun Dec 23 05:51:37 GMT+05:30 2018,home,phone: Chrome,Art & Entertainment,224786
20181223,1.54552E+12,Sun Dec 23 05:55:22 GMT+05:30 2018,home,phone: Gmail,Social,169289
20181223,1.54552E+12,Sun Dec 23 05:58:11 GMT+05:30 2018,home,sleep,Resting,7130340
20181223,1.54553E+12,Sun Dec 23 07:57:01 GMT+05:30 2018,home,home time,Personal Life,1682265
20181223,1.54553E+12,Sun Dec 23 08:25:04 GMT+05:30 2018,home,phone: Paytm,Personal Life,124473
20181223,1.54553E+12,Sun Dec 23 08:27:08 GMT+05:30 2018,home,home time,Personal Life,160505
20181223,1.54553E+12,Sun Dec 23 08:29:49 GMT+05:30 2018,,phone: Zomato,Personal Life,159864
20181223,1.54553E+12,Sun Dec 23 08:32:28 GMT+05:30 2018,,walk,Transport,199123
20181223,1.54553E+12,Sun Dec 23 08:35:48 GMT+05:30 2018,,bike,Transport,395482
20181223,1.54553E+12,Sun Dec 23 08:42:23 GMT+05:30 2018,,phone: Swiggy,Art & Entertainment,159513
20181223,1.54553E+12,Sun Dec 23 08:45:03 GMT+05:30 2018,home,phone: Swiggy,Art & Entertainment,178147
20181223,1.54554E+12,Sun Dec 23 08:48:01 GMT+05:30 2018,home,phone: Uber Eats,Transport,484612
20181223,1.54554E+12,Sun Dec 23 08:56:05 GMT+05:30 2018,home,home time,Personal Life,553323
20181223,1.54554E+12,Sun Dec 23 09:05:19 GMT+05:30 2018,home,phone: Nestaway,No category,148577
20181223,1.54554E+12,Sun Dec 23 09:07:47 GMT+05:30 2018,home,home time,Personal Life,169607
20181223,1.54554E+12,Sun Dec 23 09:10:37 GMT+05:30 2018,home,call: Madhu Priya Atha,Social,513819
20181223,1.54554E+12,Sun Dec 23 09:19:11 GMT+05:30 2018,home,home time,Personal Life,3466674
20181223,1.54554E+12,Sun Dec 23 10:16:57 GMT+05:30 2018,,walk,Transport,976771
20181223,1.54554E+12,Sun Dec 23 10:33:14 GMT+05:30 2018,,phone: Maps,Personal Life,653520
20181223,1.54554E+12,Sun Dec 23 10:44:08 GMT+05:30 2018,,walk,Transport,906017
20181223,1.54554E+12,Sun Dec 23 10:59:14 GMT+05:30 2018,,vehicle,Transport,442474
20181223,1.54554E+12,Sun Dec 23 11:06:36 GMT+05:30 2018,,call: 8884032401,Social,227948
20181223,1.54554E+12,Sun Dec 23 11:10:24 GMT+05:30 2018,,phone: Nestaway,No category,378693
20181223,1.54554E+12,Sun Dec 23 11:16:43 GMT+05:30 2018,home,call: Lokesh Mama,Social,784104
20181223,1.54554E+12,Sun Dec 23 11:29:47 GMT+05:30 2018,home,call: +918884032401,Social,108536
20181223,1.54554E+12,Sun Dec 23 11:31:35 GMT+05:30 2018,home,phone: Nestaway,No category,215170
20181223,1.54555E+12,Sun Dec 23 11:35:11 GMT+05:30 2018,home,phone: Uber,Transport,133507
20181223,1.54555E+12,Sun Dec 23 11:37:24 GMT+05:30 2018,home,phone: Nestaway,No category,501726
20181223,1.54555E+12,Sun Dec 23 11:45:46 GMT+05:30 2018,home,call: +918884032401,Social,188693
20181223,1.54555E+12,Sun Dec 23 11:48:54 GMT+05:30 2018,home,phone: Nestaway,No category,421059
20181223,1.54555E+12,Sun Dec 23 11:55:56 GMT+05:30 2018,home,home time,Personal Life,369879
20181223,1.54555E+12,Sun Dec 23 12:02:05 GMT+05:30 2018,home,phone: Messaging,Social,684637
20181223,1.54555E+12,Sun Dec 23 12:13:30 GMT+05:30 2018,home,phone: Chrome,Art & Entertainment,185774
20181223,1.54555E+12,Sun Dec 23 12:16:36 GMT+05:30 2018,home,phone: Nestaway,No category,250226
20181223,1.54555E+12,Sun Dec 23 12:20:46 GMT+05:30 2018,home,call: 7892606515,Social,222650
20181223,1.54555E+12,Sun Dec 23 12:24:29 GMT+05:30 2018,home,home time,Personal Life,130133
20181223,1.54555E+12,Sun Dec 23 12:26:39 GMT+05:30 2018,home,walk,Transport,690986
20181223,1.54555E+12,Sun Dec 23 12:38:10 GMT+05:30 2018,,call: 7892606515,Social,143809
20181223,1.54555E+12,Sun Dec 23 12:40:34 GMT+05:30 2018,,walk,Transport,609501
20181223,1.54555E+12,Sun Dec 23 12:50:43 GMT+05:30 2018,,call: +919980075075,Social,117051
20181223,1.54555E+12,Sun Dec 23 12:52:40 GMT+05:30 2018,,walk,Transport,322910
20181223,1.54555E+12,Sun Dec 23 12:58:03 GMT+05:30 2018,,call: Lokesh Mama,Social,98917
20181223,1.54555E+12,Sun Dec 23 12:59:42 GMT+05:30 2018,,walk,Transport,309501
20181223,1.54555E+12,Sun Dec 23 13:04:51 GMT+05:30 2018,,phone: Nestaway,No category,145322
20181223,1.54555E+12,Sun Dec 23 13:07:17 GMT+05:30 2018,,walk,Transport,495432
20181223,1.54555E+12,Sun Dec 23 13:15:32 GMT+05:30 2018,home,phone: Bounce by Metrobikes,No category,170164
20181223,1.54555E+12,Sun Dec 23 13:18:22 GMT+05:30 2018,home,home time,Personal Life,215148
20181223,1.54555E+12,Sun Dec 23 13:21:58 GMT+05:30 2018,home,vehicle,Transport,1228326
20181223,1.54555E+12,Sun Dec 23 13:42:26 GMT+05:30 2018,,vehicle,Transport,317878
